,from,to,date,subject,from name,to names,num_to
10,Lucas.Alcazar@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos",2014-01-06 10:50:00,RE: GT-SeismicProcessorPro Bug Report,Lucas Alcazar,"['Isak Baza', 'Lucas Alcazar']",2
11,Linnea.Bergen@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Sten.Sanjorge Jr.@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Linnea.Bergen@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Mat.Bramar@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Anda.Ribera@gastech.com.kronos",2014-01-06 11:00:00,RE: Upcoming birthdays,Linnea Bergen,"['Rachel Pantanal', 'Lars Azada', 'Felix Balas', 'Isande Borrasca', 'Axel Calzas', 'Gustav Cazar', 'Lidelse Dedos', 'Birgitta Frente', 'Vira Frente', 'Adra Nubarron', 'Marin Onda', 'Kare Orilla', 'Elsa Orilla', 'Brand Tempestad', 'Ingrid Barranco', 'Ada Campo-Corrente', 'Sten Sanjorge Jr.', 'Orhan Strum', 'Willem Vasco-Pais', 'Bertrand Ovan', 'Albina Hafon', 'Benito Hawelon', 'Claudio Hawelon', 'Henk Mies', 'Valeria Morlun', 'Adan Morlun', 'Cecilia Morluniau', 'Irene Nant', 'Dylan Scozzese', 'Lucas Alcazar', 'Isak Baza', 'Linnea Bergen', 'Nils Calixto', 'Sven Flecha', 'Hideki Cocinaro', 'Inga Ferro', 'Loreto Bodrogi', 'Isia Vann', 'Stenig Fusil', 'Hennie Osvaldo', 'Kanon Herrero', 'Varja Lagos', 'Minke Mies', 'Felix Resumir', 'Edvard Vann', 'Emile Arpa', 'Varro Awelon', 'Mat Bramar', 'Dante Coginian', 'Carla Forluniau', 'Linda Lagos', 'Cornelia Lais', 'Ruscella Mies Haber', 'Anda Ribera']",54
12,Loreto.Bodrogi@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,2014-01-06 11:04:00,Plants,Loreto Bodrogi,['Ingrid Barranco'],1
13,Linnea.Bergen@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Lidelse.Dedos@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Vira.Frente@gastech.com.kronos, Adra.Nubarron@gastech.com.kronos, Marin.Onda@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Brand.Tempestad@gastech.com.kronos, Ingrid.Barranco@gastech.com.kronos, Ada.Campo-Corrente@gastech.com.kronos, Sten.Sanjorge Jr.@gastech.com.kronos, Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos, Bertrand.Ovan@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos, Isak.Baza@gastech.com.kronos, Linnea.Bergen@gastech.com.kronos, Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Minke.Mies@gastech.com.kronos, Felix.Resumir@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Mat.Bramar@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Anda.Ribera@gastech.com.kronos",2014-01-06 11:16:00,RE: Upcoming birthdays,Linnea Bergen,"['Rachel Pantanal', 'Lars Azada', 'Felix Balas', 'Isande Borrasca', 'Axel Calzas', 'Gustav Cazar', 'Lidelse Dedos', 'Birgitta Frente', 'Vira Frente', 'Adra Nubarron', 'Marin Onda', 'Kare Orilla', 'Elsa Orilla', 'Brand Tempestad', 'Ingrid Barranco', 'Ada Campo-Corrente', 'Sten Sanjorge Jr.', 'Orhan Strum', 'Willem Vasco-Pais', 'Bertrand Ovan', 'Albina Hafon', 'Benito Hawelon', 'Claudio Hawelon', 'Henk Mies', 'Valeria Morlun', 'Adan Morlun', 'Cecilia Morluniau', 'Irene Nant', 'Dylan Scozzese', 'Lucas Alcazar', 'Isak Baza', 'Linnea Bergen', 'Nils Calixto', 'Sven Flecha', 'Hideki Cocinaro', 'Inga Ferro', 'Loreto Bodrogi', 'Isia Vann', 'Stenig Fusil', 'Hennie Osvaldo', 'Kanon Herrero', 'Varja Lagos', 'Minke Mies', 'Felix Resumir', 'Edvard Vann', 'Emile Arpa', 'Varro Awelon', 'Mat Bramar', 'Dante Coginian', 'Carla Forluniau', 'Linda Lagos', 'Cornelia Lais', 'Ruscella Mies Haber', 'Anda Ribera']",54
14,Lucas.Alcazar@gastech.com.kronos,"Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",2014-01-06 11:23:00,GT-SeismicProcessorPro Bug Report,Lucas Alcazar,"['Nils Calixto', 'Sven Flecha']",2
15,Isak.Baza@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos",2014-01-06 11:34:00,RE: GT-SeismicProcessorPro Bug Report,Isak Baza,"['Isak Baza', 'Lucas Alcazar']",2
16,Lucas.Alcazar@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos",2014-01-06 11:40:00,RE: GT-SeismicProcessorPro Bug Report,Lucas Alcazar,"['Isak Baza', 'Lucas Alcazar']",2
17,Sten.Sanjorge Jr.@gastech.com.tethys,"Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos",2014-01-06 11:53:00,IPO,,"['Orhan Strum', 'Willem Vasco-Pais']",2
18,Mat.Bramar@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",2014-01-06 12:05:00,Craft night,Mat Bramar,"['Mat Bramar', 'Anda Ribera', 'Rachel Pantanal', 'Linda Lagos', 'Ruscella Mies Haber', 'Carla Forluniau', 'Cornelia Lais']",7
19,Lucas.Alcazar@gastech.com.kronos,"Isak.Baza@gastech.com.kronos, Lucas.Alcazar@gastech.com.kronos",2014-01-06 12:05:00,RE: GT-SeismicProcessorPro Bug Report,Lucas Alcazar,"['Isak Baza', 'Lucas Alcazar']",2
20,Ingrid.Barranco@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,2014-01-06 12:15:00,RE: Plants,Ingrid Barranco,['Loreto Bodrogi'],1
21,Axel.Calzas@gastech.com.kronos,"Felix.Balas@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Elsa.Orilla@gastech.com.kronos, Birgitta.Frente@gastech.com.kronos, Kare.Orilla@gastech.com.kronos, Isande.Borrasca@gastech.com.kronos, Gustav.Cazar@gastech.com.kronos, Axel.Calzas@gastech.com.kronos, Vira.Frente@gastech.com.kronos",2014-01-06 12:15:00,Wellhead flow rate data,Axel Calzas,"['Felix Balas', 'Lars Azada', 'Elsa Orilla', 'Birgitta Frente', 'Kare Orilla', 'Isande Borrasca', 'Gustav Cazar', 'Axel Calzas', 'Vira Frente']",9
22,Lars.Azada@gastech.com.kronos,"Birgitta.Frente@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos",2014-01-06 12:21:00,RE: Wellhead flow rate data,Lars Azada,"['Birgitta Frente', 'Lars Azada', 'Felix Balas']",3
23,Stenig.Fusil@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,2014-01-06 12:28:00,RE: Service anniversary,Stenig Fusil,['Orhan Strum'],1
24,Orhan.Strum@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,2014-01-06 12:28:00,RE: Service anniversary,Orhan Strum,['Stenig Fusil'],1
25,Albina.Hafon@gastech.com.kronos,"Dante.Coginian@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Emile.Arpa@gastech.com.kronos",2014-01-06 12:30:00,RE: New refueling policies - Effective February 1,Albina Hafon,"['Dante Coginian', 'Irene Nant', 'Dylan Scozzese', 'Benito Hawelon', 'Valeria Morlun', 'Adan Morlun', 'Emile Arpa']",7
26,Nils.Calixto@gastech.com.kronos,"Nils.Calixto@gastech.com.kronos, Sven.Flecha@gastech.com.kronos",2014-01-06 12:34:00,RE: GT-SeismicProcessorPro Bug Report,Nils Calixto,"['Nils Calixto', 'Sven Flecha']",2
27,Felix.Balas@gastech.com.kronos,"Birgitta.Frente@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos",2014-01-06 12:36:00,RE: Wellhead flow rate data,Felix Balas,"['Birgitta Frente', 'Lars Azada', 'Felix Balas']",3
28,Felix.Balas@gastech.com.kronos,"Birgitta.Frente@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos",2014-01-06 12:37:00,RE: Wellhead flow rate data,Felix Balas,"['Birgitta Frente', 'Lars Azada', 'Felix Balas']",3
29,Lars.Azada@gastech.com.kronos,"Birgitta.Frente@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos",2014-01-06 12:39:00,RE: Wellhead flow rate data,Lars Azada,"['Birgitta Frente', 'Lars Azada', 'Felix Balas']",3
30,Loreto.Bodrogi@gastech.com.kronos,"Varja.Lagos@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos, Inga.Ferro@gastech.com.kronos",2014-01-06 12:44:00,RE: Patrol schedule changes,Loreto Bodrogi,"['Varja Lagos', 'Hennie Osvaldo', 'Loreto Bodrogi', 'Inga Ferro']",4
31,Loreto.Bodrogi@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,2014-01-06 12:48:00,RE: Plants,Loreto Bodrogi,['Ingrid Barranco'],1
32,Willem.Vasco-Pais@gastech.com.kronos,"Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos",2014-01-06 12:56:00,RE: IPO,Willem Vasco-Pais,"['Orhan Strum', 'Willem Vasco-Pais']",2
33,Anda.Ribera@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,2014-01-06 13:01:00,Favor - borrow hedge trimmer,Anda Ribera,['Valeria Morlun'],1
34,Orhan.Strum@gastech.com.kronos,"Orhan.Strum@gastech.com.kronos, Willem.Vasco-Pais@gastech.com.kronos",2014-01-06 13:05:00,RE: IPO,Orhan Strum,"['Orhan Strum', 'Willem Vasco-Pais']",2
35,Benito.Hawelon@gastech.com.kronos,"Adan.Morlun@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos",2014-01-06 13:07:00,RE: New refueling policies - Effective February 1,Benito Hawelon,"['Adan Morlun', 'Claudio Hawelon', 'Valeria Morlun', 'Varro Awelon', 'Albina Hafon', 'Emile Arpa', 'Irene Nant', 'Benito Hawelon', 'Dante Coginian']",9
36,Felix.Resumir@gastech.com.kronos,"Felix.Resumir@gastech.com.kronos, Hideki.Cocinaro@gastech.com.kronos, Inga.Ferro@gastech.com.kronos, Varja.Lagos@gastech.com.kronos, Kanon.Herrero@gastech.com.kronos, Stenig.Fusil@gastech.com.kronos, Hennie.Osvaldo@gastech.com.kronos, Isia.Vann@gastech.com.kronos, Edvard.Vann@gastech.com.kronos, Loreto.Bodrogi@gastech.com.kronos",2014-01-06 13:08:00,RE: Inspection request for site,Felix Resumir,"['Felix Resumir', 'Hideki Cocinaro', 'Inga Ferro', 'Varja Lagos', 'Kanon Herrero', 'Stenig Fusil', 'Hennie Osvaldo', 'Isia Vann', 'Edvard Vann', 'Loreto Bodrogi']",10
37,Bertrand.Ovan@gastech.com.kronos,"Emile.Arpa@gastech.com.kronos, Varro.Awelon@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Albina.Hafon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Claudio.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",2014-01-06 13:14:00,Facilities preparations for VIP visit,Bertrand Ovan,"['Emile Arpa', 'Varro Awelon', 'Dante Coginian', 'Albina Hafon', 'Benito Hawelon', 'Claudio Hawelon', 'Henk Mies', 'Valeria Morlun', 'Adan Morlun', 'Cecilia Morluniau', 'Irene Nant', 'Dylan Scozzese']",12
38,Felix.Balas@gastech.com.kronos,"Birgitta.Frente@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos",2014-01-06 13:16:00,RE: Wellhead flow rate data,Felix Balas,"['Birgitta Frente', 'Lars Azada', 'Felix Balas']",3
39,Ingrid.Barranco@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,2014-01-06 13:21:00,RE: Plants,Ingrid Barranco,['Loreto Bodrogi'],1
40,Birgitta.Frente@gastech.com.kronos,"Birgitta.Frente@gastech.com.kronos, Lars.Azada@gastech.com.kronos, Felix.Balas@gastech.com.kronos",2014-01-06 13:23:00,RE: Wellhead flow rate data,Birgitta Frente,"['Birgitta Frente', 'Lars Azada', 'Felix Balas']",3
41,Carla.Forluniau@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",2014-01-06 13:24:00,Question - Protocol for VIP visit,Carla Forluniau,"['Mat Bramar', 'Anda Ribera', 'Rachel Pantanal', 'Linda Lagos', 'Ruscella Mies Haber', 'Carla Forluniau', 'Cornelia Lais']",7
42,Loreto.Bodrogi@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,2014-01-06 13:26:00,RE: Plants,Loreto Bodrogi,['Ingrid Barranco'],1
43,Anda.Ribera@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",2014-01-06 13:29:00,RE: Craft night,Anda Ribera,"['Mat Bramar', 'Anda Ribera', 'Rachel Pantanal', 'Linda Lagos', 'Ruscella Mies Haber', 'Carla Forluniau', 'Cornelia Lais']",7
44,Claudio.Hawelon@gastech.com.kronos,"Irene.Nant@gastech.com.kronos, Cecilia.Morluniau@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos",2014-01-06 13:35:00,Route suggestion for next shift,Claudio Hawelon,"['Irene Nant', 'Cecilia Morluniau', 'Dylan Scozzese']",3
45,Hennie.Osvaldo@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,2014-01-06 13:42:00,Concert tickets,Hennie Osvaldo,['Kanon Herrero'],1
46,Cornelia.Lais@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos, Anda.Ribera@gastech.com.kronos, Rachel.Pantanal@gastech.com.kronos, Linda.Lagos@gastech.com.kronos, Ruscella.Mies.Haber@gastech.com.kronos, Carla.Forluniau@gastech.com.kronos, Cornelia.Lais@gastech.com.kronos",2014-01-06 13:48:00,RE: Craft night,Cornelia Lais,"['Mat Bramar', 'Anda Ribera', 'Rachel Pantanal', 'Linda Lagos', 'Ruscella Mies Haber', 'Carla Forluniau', 'Cornelia Lais']",7
47,Valeria.Morlun@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,2014-01-06 13:49:00,RE: Favor - borrow hedge trimmer,Valeria Morlun,['Anda Ribera'],1
48,Cecilia.Morluniau@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,2014-01-06 13:54:00,Supplies,Cecilia Morluniau,['Ingrid Barranco'],1
49,Anda.Ribera@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,2014-01-06 13:59:00,RE: Favor - borrow hedge trimmer,Anda Ribera,['Valeria Morlun'],1
50,Adan.Morlun@gastech.com.kronos,"Claudio.Hawelon@gastech.com.kronos, Benito.Hawelon@gastech.com.kronos, Henk.Mies@gastech.com.kronos, Dylan.Scozzese@gastech.com.kronos, Valeria.Morlun@gastech.com.kronos, Irene.Nant@gastech.com.kronos, Dante.Coginian@gastech.com.kronos, Emile.Arpa@gastech.com.kronos, Adan.Morlun@gastech.com.kronos, Varro.Awelon@gastech.com.kronos",2014-01-06 13:59:00,RE: New refueling policies - Effective February 1,Adan Morlun,"['Claudio Hawelon', 'Benito Hawelon', 'Henk Mies', 'Dylan Scozzese', 'Valeria Morlun', 'Irene Nant', 'Dante Coginian', 'Emile Arpa', 'Adan Morlun', 'Varro Awelon']",10
